conference,gender,name,image_urls,year
Aloha Ruby Conf,male,Mitchell Hashimoto,,2012
Aloha Ruby Conf,male,Noah Zoschke,,2012
Aloha Ruby Conf,male,Patrick Huesler,,2012
Aloha Ruby Conf,male,Richard Schneeman,,2012
Aloha Ruby Conf,male,Wesley Beary,,2012
Aloha Ruby Conf,male,Zach Holman,,2012
Aloha Ruby Conf,mostly_male,Corey Haines,,2012
Aloha Ruby Conf,mostly_male,Ray Hightower,,2012
AltDevConf,andy,Wasin Thonkaew,,2012
AltDevConf,female,Evangeline Marzec,,2012
AltDevConf,female,Heather Decker-Davis,,2012
AltDevConf,female,Margaret  Moser,,2012
AltDevConf,male,Alex Champandard,,2012
AltDevConf,male,Alex Darby,,2012
AltDevConf,male,Erik Johnson,,2012
AltDevConf,male,Gordon MacLauchlan,,2012
AltDevConf,male,Ian Schreiber,,2012
AltDevConf,male,Igor Lobanchikov,,2012
AltDevConf,male,John McCutchan,,2012
AltDevConf,male,Ken Fee,,2012
AltDevConf,male,Luke Dicken,,2012
AltDevConf,male,Matthieu Laban,,2012
AltDevConf,male,Miguel De Lcaza,,2012
AltDevConf,male,Mike Grimes,,2012
AltDevConf,male,Philippe Rollin,,2012
AltDevConf,male,Tim Martin,,2012
AltDevConf,male,Wolfgang Engel,,2012
AltDevConf,mostly_male,Ryan Arndt,,2012
AltDevConf,mostly_male,Sam Martin,,2012
Ancient City Ruby,female,Nell Shamrell,,2013
Ancient City Ruby,male,Andy Lindeman,,2013
Ancient City Ruby,male,Avdi Grimm,,2013
Ancient City Ruby,male,Ben Orenstein,,2013
Ancient City Ruby,male,Ben Smith,,2013
Ancient City Ruby,male,Eric Redmond,,2013
Ancient City Ruby,male,Jacob Burkhart,,2013
Ancient City Ruby,male,Paolo Perrotta,,2013
Ancient City Ruby,male,Russ Olsen,,2013
Ancient City Ruby,male,Sandi Metz,,2013
Ancient City Ruby,mostly_male,Chris Hunt,,2013
ArrrrCamp,andy,Balint Erdi,,2013
ArrrrCamp,andy,Bartlomiej Niemtur,,2012
ArrrrCamp,andy,Benoit Daloze,,2013
ArrrrCamp,andy,Briann Quinn,,2011
ArrrrCamp,andy,Floor Drees,,2013
ArrrrCamp,andy,Luismi CAVALLÉ,,2013
ArrrrCamp,female,Elise Huard,,2010
ArrrrCamp,female,Elise Huard,,2011
ArrrrCamp,female,Katrina Owen,,2012
ArrrrCamp,male,Adam Rogers,,2012
ArrrrCamp,male,Adam Rogers,,2013
ArrrrCamp,male,Aleksander Dąbrowski,,2012
ArrrrCamp,male,Andrew Nesbitt,,2011
ArrrrCamp,male,Anthony Eden,,2011
ArrrrCamp,male,Anthony Eden,,2013
ArrrrCamp,male,Avdi Grimm,,2013
ArrrrCamp,male,Bart Van Zon,,2013
ArrrrCamp,male,Ben Noordhuis,,2012
ArrrrCamp,male,Ben Orenstein,,2013
ArrrrCamp,male,Bernard Grymonpon,,2012
ArrrrCamp,male,Bryan Liles,,2012
ArrrrCamp,male,Carl Lerche,,2010
ArrrrCamp,male,Daan Van Berkel,,2013
ArrrrCamp,male,David Padilla,,2013
ArrrrCamp,male,David  Worth,,2012
ArrrrCamp,male,Drew Neil,,2010
ArrrrCamp,male,Elliott Kember,,2012
ArrrrCamp,male,Eric Nordmeyer,,2012
ArrrrCamp,male,Ewout Van Troostenberghe,,2011
ArrrrCamp,male,Jakob Hilden,,2012
ArrrrCamp,male,Jano Gonzalez,,2013
ArrrrCamp,male,Jim Gay,,2011
ArrrrCamp,male,Jim Weirich,,2012
ArrrrCamp,male,John Long,,2011
ArrrrCamp,male,Jonas Nicklas,,2011
ArrrrCamp,male,Joseph Wilk,,2010
ArrrrCamp,male,Julian Fisher,,2011
ArrrrCamp,male,Julien Biezemans,,2011
ArrrrCamp,male,Julien Biezemans,,2012
ArrrrCamp,male,Konstantin Haase,,2012
ArrrrCamp,male,Laurent Sansonetti,,2012
ArrrrCamp,male,Lennart Koopmann,,2011
ArrrrCamp,male,Marius Mathiesen,,2011
ArrrrCamp,male,Mark Bates,,2013
ArrrrCamp,male,Mathias Bynens,,2013
ArrrrCamp,male,Peter Berkenbosch,,2012
ArrrrCamp,male,Phil Nash,,2012
ArrrrCamp,male,Phil Nash,,2013
ArrrrCamp,male,Piotr Sarnacki,,2012
ArrrrCamp,male,Piotr Szotkowski,,2012
ArrrrCamp,male,Piotr Szotkowski,,2013
ArrrrCamp,male,Roy Tomeij,,2011
ArrrrCamp,male,Roy Tomeij,,2012
ArrrrCamp,male,Sebastian Roebke,,2010
ArrrrCamp,male,Steve Klabnik,,2012
ArrrrCamp,male,Sylvain Abélard,,2013
ArrrrCamp,male,Timothy Payton,,2010
ArrrrCamp,male,Yann Armand,,2012
ArrrrCamp,male,Yehuda Katz,,2010
ArrrrCamp,male,Yehuda Katz,,2012
ArrrrCamp,male,Zachary Scott,,2013
ArrrrCamp,male,Zach Holman,,2013
ArrrrCamp,mostly_male,Corey Haines,,2011
ArrrrCamp,mostly_male,Javier Ramirez,,2013
ArrrrCamp,mostly_male,Ryan Stenhouse,,2012
ArrrrCamp,mostly_male,Ryan Stenhouse,,2013
Barcelona Ruby Conference,andy,Tammer Saleh,,2012
Barcelona Ruby Conference,male,Alex Koppel,,2012
Barcelona Ruby Conference,male,Anthony Eden,,2012
Barcelona Ruby Conference,male,Brian Ford,,2012
Barcelona Ruby Conference,male,Dirkjan Bussink,,2012
Barcelona Ruby Conference,male,Fred George,,2012
Barcelona Ruby Conference,male,Gary Bernhardt,,2012
Barcelona Ruby Conference,male,Josh Kalderimis,,2012
Barcelona Ruby Conference,male,Konstantin Haase,,2012
Barcelona Ruby Conference,male,Michal Taszycki,,2012
Barcelona Ruby Conference,male,Paolo Perrotta,,2012
Barcelona Ruby Conference,male,Randall Thomas,,2012
Barcelona Ruby Conference,male,Scott Chacon,,2012
Barcelona Ruby Conference,male,Xavier Noria,,2012
Barcelona Ruby Conference,male,Zach Holman,,2012
Barcelona Ruby Conference,male,Zed A. Shaw,,2012
Big Ruby,andy,Ashe Dryden,,2014
Big Ruby,andy,Keavy McMinn,,2014
Big Ruby,andy,Mando Escamilla,,2014
Big Ruby,andy,Wynn Netherland,,2013
Big Ruby,andy,Wynn Netherland,,2014
Big Ruby,female,Coraline Ada Ehmke,,2014
Big Ruby,female,Kerri Miller,,2014
Big Ruby,male,Adam Keys,,2013
Big Ruby,male,Adam Keys,,2014
Big Ruby,male,Ben Bleything,,2014
Big Ruby,male,B.J. Allen,,2014
Big Ruby,male,Brian Morton,,2013
Big Ruby,male,Camilo Lopez,,2014
Big Ruby,male,Clint Shryock,,2014
Big Ruby,male,Ernie Miller,,2013
Big Ruby,male,Geoffrey Dagley,,2013
Big Ruby,male,Glenn Vanderburg,,2014
Big Ruby,male,Hector Castro,,2014
Big Ruby,male,Jeremy Hinegardner,,2013
Big Ruby,male,Jim Weirich,,2013
Big Ruby,male,Joe Kutner,,2013
Big Ruby,male,John Downey,,2013
Big Ruby,male,John Duff,,2013
Big Ruby,male,Josh Schairbaum,,2013
Big Ruby,male,Joshua Timberman,,2013
Big Ruby,male,Matt Kirk,,2013
Big Ruby,male,Nathen Harvey,,2013
Big Ruby,male,Richard Schneeman,,2014
Big Ruby,male,Tanner Burson,,2014
Big Ruby,male,Vito Genovese,,2014
Big Ruby,mostly_male,Chris Morris,,2014
Burlington Ruby,female,Carina C. Zona,,2013
Burlington Ruby,female,Danielle Sucher,,2013
Burlington Ruby,male,Andrew Nordman,,2013
Burlington Ruby,male,Brian Cardarella,,2013
Burlington Ruby,male,Bryan Helmkamp,,2013
Burlington Ruby,male,Dan Gebhardt,,2013
Burlington Ruby,male,David Czarnecki,,2013
Burlington Ruby,male,Mark Bates,,2013
Burlington Ruby,male,Nick Cox,,2013
Burlington Ruby,male,Richard Schneeman,,2013
Burlington Ruby,male,Steve Klabnik,,2013
Burlington Ruby,male,Zachary Scott,,2013
Canadian University Software Engineering Conference,female,Jessica McKellar,,2013
Canadian University Software Engineering Conference,female,Michelle Levesque,,2013
Canadian University Software Engineering Conference,female,Sabine Bergler,,2013
Canadian University Software Engineering Conference,female,Susan Ibach,,2013
Canadian University Software Engineering Conference,male,Andrew Louis,,2013
Canadian University Software Engineering Conference,male,Ben Fry,,2013
Canadian University Software Engineering Conference,male,Benjamin Black,,2013
Canadian University Software Engineering Conference,male,Daniel Robinson,,2013
Canadian University Software Engineering Conference,male,Doug Tetzner,,2013
Canadian University Software Engineering Conference,male,Ian Goldberg,,2013
Canadian University Software Engineering Conference,male,Jonathan Brun,,2013
Canadian University Software Engineering Conference,male,Maciej Ceglowski,,2013
Canadian University Software Engineering Conference,male,Michael Wojcikiewicz,,2013
Canadian University Software Engineering Conference,male,Nick Edouard,,2013
Canadian University Software Engineering Conference,male,Paul Cisek,,2013
Canadian University Software Engineering Conference,male,Rami Sayar,,2013
Canadian University Software Engineering Conference,male,Richard Gate,,2013
Canadian University Software Engineering Conference,mostly_female,Gail Carmichael,,2013
Cascadia Ruby,andy,Casey Rosenthal,,2012
Cascadia Ruby,andy,Mando Escamilla,,2011
Cascadia Ruby,andy,Mando Escamilla,,2013
Cascadia Ruby,andy,PJ Hagerty,,2013
Cascadia Ruby,andy,Starr Horne,,2013
Cascadia Ruby,andy,Various Presenters,,2011
Cascadia Ruby,female,Aja Hammerly,,2012
Cascadia Ruby,female,Aja Hammerly,,2013
Cascadia Ruby,female,Elise  Worthy,,2012
Cascadia Ruby,female,Jessica Allen,,2012
Cascadia Ruby,female,Katrina Owen,,2012
Cascadia Ruby,female,Kerri Miller,,2013
Cascadia Ruby,female,Nicole Maddox,,2012
Cascadia Ruby,female,Sara Blackthorne,,2013
Cascadia Ruby,male,Andy Delcambre,,2012
Cascadia Ruby,male,Andy Delcambre,,2013
Cascadia Ruby,male,Avdi Grimm,,2011
Cascadia Ruby,male,Ben Bleything,,2012
Cascadia Ruby,male,Carl Alviani,,2013
Cascadia Ruby,male,Chad Fowler,,2011
Cascadia Ruby,male,Davy Stevenson,,2013
Cascadia Ruby,male,Gary Bernhardt,,2011
Cascadia Ruby,male,Geoffrey Grossenbach,,2011
Cascadia Ruby,male,Haris Amin,,2011
Cascadia Ruby,male,H. Dean Hudson,,2012
Cascadia Ruby,male,Ian Dees,,2011
Cascadia Ruby,male,Jacob Burkhart,,2012
Cascadia Ruby,male,Jeremy Hinegardner,,2013
Cascadia Ruby,male,Jerry D'Antonio,,2013
Cascadia Ruby,male,Jesse Cooke,,2012
Cascadia Ruby,male,Jim Remsik,,2011
Cascadia Ruby,male,John Barnette,,2011
Cascadia Ruby,male,Josh Adams,,2013
Cascadia Ruby,male,Laurent Sansonetti,,2012
Cascadia Ruby,male,Mark Tabler,,2012
Cascadia Ruby,male,Matthew Kirk,,2013
Cascadia Ruby,male,Matt Yoho,,2012
Cascadia Ruby,male,Mitchell Hashimoto,,2012
Cascadia Ruby,male,Nick Cox,,2013
Cascadia Ruby,male,Robby Clements,,2013
Cascadia Ruby,male,Rogelio J. Samour,,2012
Cascadia Ruby,male,Shane Becker,,2012
Cascadia Ruby,mostly_male,Chris Maddox,,2012
Cascadia Ruby,mostly_male,Corey Donohoe,,2011
Cascadia Ruby,mostly_male,Dylan Stamat,,2011
Cascadia Ruby,mostly_male,Rich Kilmer,,2011
Cascadia Ruby,mostly_male,Ryan Davis,,2011
Cascadia Ruby,mostly_male,Ryan Davis,,2012
Cascadia Ruby,mostly_male,Ryan Davis,,2013
Cascadia Ruby,mostly_male,Sam Livingston-Gray,,2011
Cascadia Ruby,mostly_male,Sam Livingston-Gray,,2013
Chef Conf,andy,Dhruv Bansal,,2012
Chef Conf,female,Sarah Novotny,,2012
Chef Conf,male,Adam Jacob,,2012
Chef Conf,male,Alex Honor,,2012
Chef Conf,male,Anthony Shortland,,2012
Chef Conf,male,Artur Bergman,,2012
Chef Conf,male,Ben  Rockwood,,2012
Chef Conf,male,Brett Weaver,,2012
Chef Conf,male,Christopher  Brown,,2012
Chef Conf,male,Dan Gillmer,,2012
Chef Conf,male,Greg Albrecht,,2012
Chef Conf,male,Jason Cook,,2012
Chef Conf,male,Jason Stowe,,2012
Chef Conf,male,Jeremy Winters,,2012
Chef Conf,male,Jesse Robbins,,2012
Chef Conf,male,Jim Hopp,,2012
Chef Conf,male,John Esser,,2012
Chef Conf,male,John Vincent,,2012
Chef Conf,male,Jon-Paul Sullivan,,2012
Chef Conf,male,Keith Shinn,,2012
Chef Conf,male,Lew Goettner,,2012
Chef Conf,male,Matthew Kocher,,2012
Chef Conf,male,Matt Ray,,2012
Chef Conf,male,Mitch Hill,,2012
Chef Conf,male,Nathaniel Eliot,,2012
Chef Conf,male,Nathen Harvey,,2012
Chef Conf,male,Patrick McDonnell,,2012
Chef Conf,male,Ron Vidal,,2012
Chef Conf,male,Russell Haering,,2012
Chef Conf,male,Sean Escriva,,2012
Chef Conf,male,Seth Falcon,,2012
Chef Conf,male,Stephen  Nelson-Smith,,2012
Chef Conf,male,Thom May,,2012
Chicago Djangonauts,male,Adam Jenkins,,2011
Chicago Djangonauts,male,Adam Jenkins,,2012
Chicago Djangonauts,male,George Kappel,,2012
Chicago Djangonauts,male,George Kappel,,2013
Chicago Djangonauts,male,Jack Shedd,,2013
Chicago Djangonauts,male,Joe Jasinski,,2011
Chicago Djangonauts,male,Joe Jasinski,,2013
Chicago Djangonauts,male,Max Mautner,,2012
Chicago Djangonauts,male,Steve Holden,,2012
Chicago Erlang User Group,male,Joe Armstrong,,2013
Chicago Erlang User Group,male,Lennart Öhman,,2012
Chicago Freelancers,male,David Winner,,2013
ChicagoLUG,male,Jeff Schroeder,,2013
ChicagoLUG,mostly_female,Bonnie King,,2013
Chicago Web Conf,andy,Pek Pongpaet,,2012
Chicago Web Conf,female,Catherine Farman,,2012
Chicago Web Conf,female,Jen Myers,,2012
Chicago Web Conf,female,Sussi Zällh,,2012
Chicago Web Conf,male,David Demaree,,2012
Chicago Web Conf,male,Dayton Nolan,,2012
Chicago Web Conf,male,Gabriel Grant,,2012
Chicago Web Conf,male,George DeMet,,2012
Chicago Web Conf,male,Justin Love,,2012
Chicago Web Conf,male,Martin Atkins,,2012
Chicago Web Conf,male,Nick Rougeux,,2012
Chicago Web Conf,male,Oren Golan,,2012
Chicago Web Conf,male,Paul Baker,,2012
Chicago Web Conf,male,Peter Moskovits,,2012
Chicago Web Conf,male,Russ Unger,,2012
Chicago Web Conf,male,Tim Caswell,,2012
Chicago Web Conf,mostly_male,Ryan Briones,,2012
Chicago Web Conf,mostly_male,Will Hacker,,2012
ChiPy,andy,Evil Joel,,2012
ChiPy,andy,Feihong Hsu,,2013
ChiPy,andy,Japhy Bartlett,,2012
ChiPy,andy,JP Bader,,2013
ChiPy,andy,kumar.mcmillan@gmail.com,,2012
ChiPy,andy,rentzsch,,2012
ChiPy,andy,Tal Liron,,2013
ChiPy,andy,TBD,,2013
ChiPy,andy,Various Artists,,2012
ChiPy,andy,yarko,,2013
ChiPy,female,Sheila Miguez,,2013
ChiPy,male,Aaron Brady,,2014
ChiPy,male,Adam Cezar Jenkins,,2012
ChiPy,male,"Adam ""Cezar"" Jenkins",,2013
ChiPy,male,Adam Forsyth,,2013
ChiPy,male,Adrian Holovaty,,2012
ChiPy,male,Alex Gaynor,,2010
ChiPy,male,Benjamin Sugar,,2013
ChiPy,male,Ben Toews,,2012
ChiPy,male,Brian Curtin,,2012
ChiPy,male,Brian Curtin,,2013
ChiPy,male,Brian Ray,,2012
ChiPy,male,Brian Ray,,2013
ChiPy,male,Brian Ray,,2014
ChiPy,male,Christopher Webber,,2013
ChiPy,male,Colin Jones (@trptcolin),,2012
ChiPy,male,David Beazley,,2012
ChiPy,male,David Sutton,,2013
ChiPy,male,Fawad Halim,,2012
ChiPy,male,Forest Gregg,,2012
ChiPy,male,Frank,,2012
ChiPy,male,Greg Kettler,,2012
ChiPy,male,Greg Kettler,,2013
ChiPy,male,Jason Wirth,,2013
ChiPy,male,Jordan Bettis,,2012
ChiPy,male,Joshua Herman,,2012
ChiPy,male,Matt Bone,,2012
ChiPy,male,Nick Bennett,,2014
ChiPy,male,Paul Baker,,2012
ChiPy,male,Paul Ebreo,,2013
ChiPy,male,Pete Fein,,2012
ChiPy,male,Peter Fein,,2013
ChiPy,male,Philip Doctor,,2013
ChiPy,male,Phil Robare,,2012
ChiPy,male,Ross Heflin,,2013
ChiPy,male,Scott Stephens,,2012
ChiPy,male,Sean Bloomfield,,2013
ChiPy,mostly_male,Chris Webber,,2012
ChiPy,mostly_male,Randy Baxley,,2013
confoo.ca,andy,Benoit Domingue,,2012
confoo.ca,andy,Benoit Domingue,,2013
confoo.ca,andy,Benoit Goyette,,2010
confoo.ca,andy,Benoit Grégoire,,2010
confoo.ca,andy,Benoit Lapointe,,2010
confoo.ca,andy,Benoit Piette,,2010
confoo.ca,andy,Benoit Piette,,2011
confoo.ca,andy,Benoit Piette,,2012
confoo.ca,andy,Bermon Painter,,2013
confoo.ca,andy,Bermon Painter,,2014
confoo.ca,andy,Chiu-Ki Chan,,2013
confoo.ca,andy,CT  Moore,,2011
confoo.ca,andy,D'Arcy Lussier,,2013
confoo.ca,andy,Éric Araujo,,2011
confoo.ca,andy,Francois Harvey,,2010
confoo.ca,andy,Gianugo Rabellino,,2011
confoo.ca,andy,Gourav Tiwari,,2012
confoo.ca,andy,Jean-Francois Proulx,,2010
confoo.ca,andy,Kore Nordmann,,2011
confoo.ca,andy,Kore Nordmann,,2013
confoo.ca,andy,Kuassi Mensah,,2010
confoo.ca,andy,Kuassi Mensah,,2011
confoo.ca,andy,Kuassi Mensah,,2012
confoo.ca,andy,Newman Hunter,,2011
confoo.ca,andy,Sarven Capadisli,,2010
confoo.ca,andy,Sarven Capadisli,,2011
confoo.ca,andy,Sarven Capadisli,,2012
confoo.ca,andy,Sarven Capadisli,,2014
confoo.ca,andy,Sheeri K. Cabral,,2010
confoo.ca,andy,Sheeri K. Cabral,,2013
confoo.ca,andy,Tayana Jacques,,2014
confoo.ca,andy,Tremeur Balbous,,2010
confoo.ca,andy,Wil Moore,,2012
confoo.ca,andy,Wil Moore,,2013
confoo.ca,female,Alice Bevan-McGregor,,2010
confoo.ca,female,Alice Bevan-McGregor,,2011
confoo.ca,female,Alice Bevan-McGregor,,2012
confoo.ca,female,Anna Filina,,2014
confoo.ca,female,Asya Kamsky,,2012
confoo.ca,female,Beth Tucker Long,,2014
confoo.ca,female,Eden Rohatensky,,2014
confoo.ca,female,Elise Huard,,2013
confoo.ca,female,Eli White,,2010
confoo.ca,female,Eli White,,2012
confoo.ca,female,Eli White,,2013
confoo.ca,female,Eli White,,2014
confoo.ca,female,Elizabeth Tucker Long,,2013
confoo.ca,female,Estelle Weyl,,2013
confoo.ca,female,Hanneli Tavante,,2012
confoo.ca,female,Hanneli Tavante,,2014
confoo.ca,female,Heather O'Neill,,2013
confoo.ca,female,Janina Szkut,,2014
confoo.ca,female,Jen Kramer,,2014
confoo.ca,female,Judith Andresen,,2013
confoo.ca,female,Kathryn Rotondo,,2014
confoo.ca,female,Katrina Owen,,2013
confoo.ca,female,Lori Olson,,2012
confoo.ca,female,Maura Thomas,,2010
confoo.ca,female,Melanie Dubois,,2013
confoo.ca,female,Melanie Dubois,,2014
confoo.ca,female,Nicola Rodriguez-Demers,,2010
confoo.ca,female,Rachel Andrew,,2013
confoo.ca,female,Rachel Andrew,,2014
confoo.ca,female,Sara Golemon,,2013
confoo.ca,female,Susan Varty,,2012
confoo.ca,female,Suzanne Kennedy,,2012
confoo.ca,female,Wendy Liu,,2014
confoo.ca,male,Adam Culp,,2014
confoo.ca,male,Alain Lord,,2010
confoo.ca,male,Alessandro Nadalin,,2014
confoo.ca,male,Alexandre Bourget,,2010
confoo.ca,male,Alexandre Bourget,,2011
confoo.ca,male,Alexandre Bourget,,2013
confoo.ca,male,Alexandre Rimthong,,2013
confoo.ca,male,Alexandre Rimthong,,2014
confoo.ca,male,Alexis Metaireau,,2012
confoo.ca,male,Alex Papadimoulis,,2013
confoo.ca,male,Allan Foster,,2011
confoo.ca,male,Alvaro Videla,,2011
confoo.ca,male,Andre Bonin,,2010
confoo.ca,male,Andrei Zmievski,,2010
confoo.ca,male,Andrei Zmievski,,2011
confoo.ca,male,Andrei Zmievski,,2012
confoo.ca,male,Andrei Zmievski,,2013
confoo.ca,male,Andrei Zmievski,,2014
confoo.ca,male,Andrew Lombardi,,2012
confoo.ca,male,Andrew Lombardi,,2013
confoo.ca,male,Andy McKay,,2011
confoo.ca,male,Andy McKay,,2012
confoo.ca,male,Andy McKay,,2013
confoo.ca,male,Anthony Dahanne,,2012
confoo.ca,male,Anthony Dahanne,,2013
confoo.ca,male,Anthony Ferrara,,2014
confoo.ca,male,Anthony van der Hoorn,,2014
confoo.ca,male,Antoine Girbal,,2011
confoo.ca,male,Antoine Pitrou,,2010
confoo.ca,male,Antonio Fontes,,2010
confoo.ca,male,Antonio Fontes,,2011
confoo.ca,male,Antonio Fontes,,2012
confoo.ca,male,Antonio Fontes,,2013
confoo.ca,male,Arne Blankerts,,2010
confoo.ca,male,Arne Blankerts,,2011
confoo.ca,male,Arne Blankerts,,2012
confoo.ca,male,Arne Blankerts,,2013
confoo.ca,male,Arne Blankerts,,2014
confoo.ca,male,Arun Gupta,,2013
confoo.ca,male,Arun Gupta,,2014
confoo.ca,male,Asher Snyder,,2010
confoo.ca,male,Aurélien Levy,,2011
